trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
32,0.5,15.5,47.72029960004147,48.218636800011154,48.218636800011154,48.218636800011154,,left,-15.5,0,0,231.3530426999787,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
33,0.5,16.0,48.38685320003424,48.886991600040346,48.886991600040346,48.886991600040346,,left,-16.0,0,0,231.23446439998224,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
34,0.5,16.5,48.93617960001575,49.43613590003224,49.43613590003224,49.43613590003224,49.736208499991335,left,-16.5,0,0,231.66318759997375,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
35,0.5,17.0,49.920629300002474,50.419653600023594,50.419653600023594,50.419653600023594,,left,-17.0,1,1,231.33545710000908,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
36,0.5,17.0,50.57016669999575,51.069697400031146,51.069697400031146,51.069697400031146,51.36887679999927,right,17.0,1,1,232.75174529996002,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
37,0.5,17.0,52.63664630003041,53.1368916000356,53.1368916000356,53.1368916000356,53.43657120002899,right,17.0,0,0,231.57498209999176,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
38,0.5,17.5,53.53611500002444,54.03624560002936,54.03624560002936,54.03624560002936,54.33615570003167,left,-17.5,0,0,235.06852720002644,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
39,0.5,18.0,57.91907080000965,58.42024810001021,58.42024810001021,58.42024810001021,,right,18.0,1,1,231.334225199942,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
40,0.5,18.0,58.570060800004285,59.06886100000702,59.06886100000702,59.06886100000702,,right,18.0,1,1,231.29772239999147,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
41,0.5,18.0,59.1864201000426,59.68632840004284,59.68632840004284,59.68632840004284,,right,18.0,1,1,231.25128729996504,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
42,0.5,17.5,59.75310840003658,60.252451300038956,60.252451300038956,60.252451300038956,,left,-17.5,0,0,231.2367306999513,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
43,0.5,18.0,60.3206134000211,60.81926710001426,60.81926710001426,60.81926710001426,,right,18.0,1,1,231.33529139996972,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
44,0.5,18.0,60.96998330001952,61.46983860002365,61.46983860002365,61.46983860002365,,left,-18.0,0,0,231.31787460000487,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
45,0.5,18.5,61.60264850000385,62.10261350002838,62.10261350002838,62.10261350002838,62.40328299999237,left,-18.5,0,0,231.50206299999263,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
46,0.5,19.0,62.42039060004754,62.92004880000604,62.92004880000604,62.92004880000604,,right,19.0,1,1,231.3182397999335,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
47,0.5,19.0,63.052735200035386,63.55372650001664,63.55372650001664,63.55372650001664,63.85392399999546,right,19.0,1,1,231.48169139999663,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
48,0.5,19.0,63.85392399999546,64.35464670002693,64.35464670002693,64.35464670002693,,left,-19.0,0,0,231.31680979998782,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
49,0.5,19.5,64.48566500004381,64.9865258000209,64.9865258000209,64.9865258000209,65.28558450000128,left,-19.5,0,0,231.77801810001256,066663,001,2023-09-01_12h09.51.520,adaptive_staircase,2023.1.3,60.07756011921543,
